101000,101000,1,1,2,0,Guardian's Sword,1,1,0,1,3,40,3,No effect,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_sword_001_r_a,,,,,,
101008,101008,1,1,2,0,Colossus Sword,1,1,0,1,4,50,3,No effect,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_sword_003_r_a,,,,,,
101010,101010,1,1,2,0,Greatsword of Confidence,1,1,0,1,5,60,3,No effect,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_r_h_sword_006_r_a,,,,,,
101016,101016,1,0,2,0,Sacred Treasure:<br>Zeus' Battle Ax,1,1,1000,5,5,60,3,,,Grant ability,,6,Gives [Exaltation III] to all allies during sortie<br>attack power +10,0,,0,,0,0,0,0,0,0,0,0,0,0,903,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,3,0,0,3,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ch_r_a_g_004,we_r_g_halberd_001_r_a,,,,,,
101018,101100,1,1,2,0,Weapon Oil,1,3,0,1,3,0,0,+20 Attack Power to one Ally,,Strengthen attack power,,0,,0,,0,,1,0,+20,1,0,0,0,0,0,0,100,20,0,0,0,3,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
101022,101104,1,1,2,0,Dragon's Tears,1,3,0,1,2,0,0,Give [Exaltation I] to one ally,,Grant ability,,0,,0,,0,,16,0,0,1,0,0,0,0,0,0,101,1,1,0,0,3,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
101023,101200,1,1,2,0,Friendly Rivalry,1,2,0,1,4,0,3,Attack power +20 to all allies during sortie,,Strengthen attack power,,0,,0,,0,,1,0,+20,1,0,0,0,0,0,0,100,20,0,0,0,3,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
102001,102001,1,1,2,0,Hunting Sword,2,1,0,1,2,30,2,No effect,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_g_h_dagger_004_r_a,,,,,,
102002,102003,1,1,2,0,Fang Blade,2,1,0,1,5,60,2,No effect,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_g_h_shamshir_003_r_a,,,,,,
102003,102004,1,1,2,0,Leather Gloves,2,1,0,1,3,40,2,No effect,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,we_g_h_knuckle_001_r_a,we_g_h_knuckle_001_l_a,,,,,
102018,102102,1,1,2,0,Sharp Throwing Darts,2,3,0,1,3,0,0,20 damage to one enemy,,Unit Damage,,0,,0,,0,,4,0,-20,2,0,0,0,0,0,0,500,-20,0,0,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
